match_id,match_date,match_week,home_team,away_team,player,player_id,team,position,minute,second,period,shot_body_part,shot_type,shot_technique,shot_first_time,shot_one_on_one,under_pressure,play_pattern,shot_outcome,shot_statsbomb_xg,shot_x,shot_y
3879608,2015-11-07,12,Hellas Verona,Bologna,Giampaolo Pazzini,6686.0,Hellas Verona,Center Forward,1,42,1,Head,Open Play,Normal,,,,Regular Play,Off T,0.03672542,106.3,33.1
3879608,2015-11-07,12,Hellas Verona,Bologna,Mattia Destro,8103.0,Bologna,Center Forward,3,53,1,Right Foot,Open Play,Normal,,,True,Regular Play,Off T,0.021706743,86.6,44.5
3879608,2015-11-07,12,Hellas Verona,Bologna,Emanuele Giaccherini,7775.0,Bologna,Left Wing,5,0,1,Left Foot,Open Play,Half Volley,True,,,Regular Play,Goal,0.09653051,108.4,32.7
3879608,2015-11-07,12,Hellas Verona,Bologna,Giampaolo Pazzini,6686.0,Hellas Verona,Center Forward,9,49,1,Right Foot,Open Play,Normal,,,,Regular Play,Saved,0.046730515,95.7,34.8
3879608,2015-11-07,12,Hellas Verona,Bologna,Mattia Destro,8103.0,Bologna,Center Forward,13,51,1,Right Foot,Open Play,Normal,True,,,Regular Play,Wayward,0.0821253,102.8,38.3
3879608,2015-11-07,12,Hellas Verona,Bologna,Godfred Donsah,8280.0,Bologna,Right Center Midfield,13,52,1,Right Foot,Open Play,Normal,True,,True,Regular Play,Goal,0.1254913,107.9,47.5
3879608,2015-11-07,12,Hellas Verona,Bologna,Emil Hallfreðsson,5512.0,Hellas Verona,Left Center Midfield,15,55,1,Left Foot,Open Play,Normal,,,,Regular Play,Saved,0.034205277,103.2,25.2
3879608,2015-11-07,12,Hellas Verona,Bologna,Juan Ignacio Gómez Taleb,386651.0,Hellas Verona,Left Wing,21,2,1,Right Foot,Open Play,Half Volley,True,,True,Regular Play,Blocked,0.04659284,103.2,37.6
3879608,2015-11-07,12,Hellas Verona,Bologna,Leandro Greco,32119.0,Hellas Verona,Center Defensive Midfield,21,28,1,Left Foot,Open Play,Normal,,,True,Regular Play,Blocked,0.015221358,87.0,32.8
3879608,2015-11-07,12,Hellas Verona,Bologna,Juan Ignacio Gómez Taleb,386651.0,Hellas Verona,Left Wing,53,22,2,Head,Open Play,Normal,,,,From Free Kick,Off T,0.08312434,109.1,36.9
3879608,2015-11-07,12,Hellas Verona,Bologna,Godfred Donsah,8280.0,Bologna,Right Center Midfield,72,44,2,Right Foot,Open Play,Normal,,,,From Free Kick,Saved,0.03231739,93.8,54.1
3879608,2015-11-07,12,Hellas Verona,Bologna,Luca Siligardi,11494.0,Hellas Verona,Center Attacking Midfield,73,5,2,Left Foot,Open Play,Normal,,,True,From Keeper,Off T,0.011633241,86.1,48.8
3879608,2015-11-07,12,Hellas Verona,Bologna,Emil Hallfreðsson,5512.0,Hellas Verona,Left Center Midfield,74,13,2,Left Foot,Open Play,Half Volley,True,,True,From Free Kick,Off T,0.017984306,98.7,24.2
3879608,2015-11-07,12,Hellas Verona,Bologna,Mattia Destro,8103.0,Bologna,Center Forward,80,26,2,Right Foot,Open Play,Half Volley,,,,From Corner,Blocked,0.028278932,105.2,24.5
3879608,2015-11-07,12,Hellas Verona,Bologna,Mattia Destro,8103.0,Bologna,Center Forward,80,31,2,Left Foot,Open Play,Half Volley,,,,From Corner,Wayward,0.053293854,109.5,24.5
3879608,2015-11-07,12,Hellas Verona,Bologna,Giampaolo Pazzini,6686.0,Hellas Verona,Right Center Forward,82,21,2,Right Foot,Open Play,Volley,,,True,From Throw In,Blocked,0.026045278,95.7,35.9
3879608,2015-11-07,12,Hellas Verona,Bologna,Saphir Sliti Taïder,8851.0,Bologna,Right Center Midfield,86,1,2,Right Foot,Open Play,Normal,,,,From Free Kick,Off T,0.020016257,98.8,57.1
3879608,2015-11-07,12,Hellas Verona,Bologna,Saphir Sliti Taïder,8851.0,Bologna,Right Center Midfield,86,53,2,Right Foot,Open Play,Normal,,True,,From Counter,Saved to Post,0.03016748,116.7,52.1
3879608,2015-11-07,12,Hellas Verona,Bologna,Saphir Sliti Taïder,8851.0,Bologna,Right Center Midfield,87,6,2,Right Foot,Open Play,Normal,,,,From Counter,Blocked,0.044693064,105.3,27.0
